Place Name,Total Transactions count,Total Amount,Quarter,Year,State
north and middle andaman district,442,931663.0770939873,1,2018,andaman-&-nicobar-islands
south andaman district,5688,12560249.34366581,1,2018,andaman-&-nicobar-islands
nicobars district,528,1139848.801225994,1,2018,andaman-&-nicobar-islands
north and middle andaman district,825,1317863.0834906558,2,2018,andaman-&-nicobar-islands
south andaman district,9395,23948235.51634325,2,2018,andaman-&-nicobar-islands
nicobars district,1120,3072436.9081196385,2,2018,andaman-&-nicobar-islands
north and middle andaman district,1283,4901529.518499676,3,2018,andaman-&-nicobar-islands
south andaman district,13511,44268112.464252464,3,2018,andaman-&-nicobar-islands
nicobars district,1471,6387829.151558982,3,2018,andaman-&-nicobar-islands
north and middle andaman district,2137,7955635.917688001,4,2018,andaman-&-nicobar-islands
south andaman district,20136,75411840.8018554,4,2018,andaman-&-nicobar-islands
nicobars district,1485,7180859.354911782,4,2018,andaman-&-nicobar-islands
north and middle andaman district,3264,9561708.736298349,1,2019,andaman-&-nicobar-islands
south andaman district,25683,85501972.38780196,1,2019,andaman-&-nicobar-islands
nicobars district,1539,7236059.549389593,1,2019,andaman-&-nicobar-islands
north and middle andaman district,3371,8612103.137888122,2,2019,andaman-&-nicobar-islands
south andaman district,28490,102530955.71341251,2,2019,andaman-&-nicobar-islands
nicobars district,1828,9111650.82436246,2,2019,andaman-&-nicobar-islands
north and middle andaman district,4049,11481466.28335679,3,2019,andaman-&-nicobar-islands
south andaman district,27421,91023888.32848613,3,2019,andaman-&-nicobar-islands
nicobars district,2300,11566421.47545101,3,2019,andaman-&-nicobar-islands
north and middle andaman district,4716,13524056.784573939,4,2019,andaman-&-nicobar-islands
south andaman district,27843,110930312.2061162,4,2019,andaman-&-nicobar-islands
nicobars district,2600,12384161.52668771,4,2019,andaman-&-nicobar-islands
north and middle andaman district,5674,14697371.6178571,1,2020,andaman-&-nicobar-islands
south andaman district,32713,134679396.90582752,1,2020,andaman-&-nicobar-islands
nicobars district,2911,12099543.77359005,1,2020,andaman-&-nicobar-islands
north and middle andaman district,10979,22447714.061058953,2,2020,andaman-&-nicobar-islands
south andaman district,48088,132855778.74838582,2,2020,andaman-&-nicobar-islands
nicobars district,3895,14341508.60470232,2,2020,andaman-&-nicobar-islands
north and middle andaman district,16747,33486883.37042555,3,2020,andaman-&-nicobar-islands
south andaman district,95323,282366109.2052393,3,2020,andaman-&-nicobar-islands
nicobars district,5413,22166453.75469538,3,2020,andaman-&-nicobar-islands
north and middle andaman district,29349,68941322.38839513,4,2020,andaman-&-nicobar-islands
south andaman district,186494,523122462.88302904,4,2020,andaman-&-nicobar-islands
nicobars district,8688,35218871.04342849,4,2020,andaman-&-nicobar-islands
north and middle andaman district,27358,75027255.27919498,1,2021,andaman-&-nicobar-islands
south andaman district,207092,669604045.1248703,1,2021,andaman-&-nicobar-islands
nicobars district,10302,39075266.9856904,1,2021,andaman-&-nicobar-islands
north and middle andaman district,39200,90233388.79463302,2,2021,andaman-&-nicobar-islands
south andaman district,286907,760893020.5704944,2,2021,andaman-&-nicobar-islands
nicobars district,15307,48020606.74716837,2,2021,andaman-&-nicobar-islands
north and middle andaman district,46592,118254865.8275068,3,2021,andaman-&-nicobar-islands
south andaman district,382418,1116789010.645961,3,2021,andaman-&-nicobar-islands
nicobars district,20754,74980519.3281361,3,2021,andaman-&-nicobar-islands
north and middle andaman district,53115,156486112.2873243,4,2021,andaman-&-nicobar-islands
south andaman district,558571,1694794708.0093331,4,2021,andaman-&-nicobar-islands
nicobars district,24437,81329281.02699961,4,2021,andaman-&-nicobar-islands
north and middle andaman district,60059,161624878.52274162,1,2022,andaman-&-nicobar-islands
south andaman district,705512,1872991195.9026842,1,2022,andaman-&-nicobar-islands
